,id,averageScore,title.romaji
131,132405,81,Sono Bisque Doll wa Koi wo Suru
132,133965,78,"Komi-san wa, Komyushou desu."
133,136430,88,VINLAND SAGA SEASON 2
134,137822,82,Blue Lock
135,140960,85,SPY×FAMILY
136,141391,79,Yofukashi no Uta
137,142329,86,Kimetsu no Yaiba: Yuukaku-hen
138,142770,82,Suzume no Tojimari
139,142838,82,SPY×FAMILY Part 2
140,142876,81,Dr. STONE: Ryuusui
141,145064,88,Jujutsu Kaisen 2nd Season
142,145139,82,Kimetsu no Yaiba: Katanakaji no Sato-hen
143,145545,80,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 2nd Season
144,146638,76,Kengan Ashura Season 2
145,146722,82,JoJo no Kimyou na Bouken: Stone Ocean Part 2
146,146850,75,Isekai Nonbiri Nouka
147,146984,87,Shingeki no Kyojin: The Final Season - Kanketsu-hen Zenpen
148,150672,86,[Oshi no Ko]
149,151384,88,Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai
150,151801,76,MASHLE
151,151806,77,Tomo-chan wa Onnanoko!
152,153360,64,Jidou Hanbaiki ni Umarekawatta Ore wa Meikyuu wo Samayou
153,154587,90,Sousou no Frieren
154,154745,70,"Kanojo, Okarishimasu 3rd Season"
155,155211,82,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Shin Shou Yakusai-hen
156,157198,72,Dead Mount Death Play
157,158927,81,SPY×FAMILY Season 2
158,161964,84,Kage no Jitsuryokusha ni Naritakute! 2nd season
159,163263,85,Bungou Stray Dogs 5th Season
